"","nearby$results$name","nearby$results$formatted_address","nearby$results$rating","lat","lng","c(rep(keyword, nrow(loopmaster)))"
"85","Arbory Bar & Eatery","1 Flinders Walk, Melbourne VIC 3000, Australia",4.2,-37.8190565,144.9657513,"food and drink"
"86","Fonda Mexican","31 Flinders Ln, Melbourne VIC 3000, Australia",4.2,-37.81485,144.973159,"food and drink"
"87","Fatto Bar & Cantina","100 St Kilda Rd, Melbourne VIC 3004, Australia",3.2,-37.8197604,144.9681469,"food and drink"
"88","Arintji - Steak & Seafood","Federation Square, 2 Swanston St, Melbourne VIC 3000, Australia",3.5,-37.818197,144.968978,"food"
"89","Chocolate Buddha","Federation Square, Swanston St & Flinders St, Melbourne VIC 3000, Australia",3.9,-37.8175246,144.9689087,"food"
"90","Time Out Fed Square","Federation Square, 2 Swanston St, Melbourne VIC 3000, Australia",3.1,-37.8176453,144.9681522,"food"
"91","Beer DeLuxe Fed Square","Flinders St, Melbourne VIC 3000, Australia",3.8,-37.8174609,144.9694026,"food"
"92","Taxi Kitchen","Flinders St & Swanston St, Melbourne VIC 3000, Australia",4.1,-37.818441,144.968366,"food"
"93","Il Pom Italian Fed Sqaure","2 Swanston St, Melbourne VIC 3000, Australia",3.4,-37.8182078,144.969229,"food"
"94","MoVida Next Door","164 Flinders St, Melbourne VIC 3000, Australia",4.3,-37.816802,144.96918,"food"
"95","The Grill at Beer DeLuxe","Federation Square, Flinders St, Melbourne VIC 3000, Australia",4.5,-37.817475,144.9694739,"food"
"96","Taxi Riverside","Tenancy 26/2 Swanston St, Melbourne VIC 3004, Australia",3.8,-37.8182938,144.9692826,"food"
"97","Nando's Flinders St","170 Flinders St, Melbourne VIC 3000, Australia",3.5,-37.8168298,144.9691026,"food"
"98","Riverland Bar","Federation Wharf, 1-9, Melbourne VIC 3000, Australia",4,-37.8187429,144.968743,"food"
"99","Pilgrim Bar","Federation Wharf, 15-19 Federation Drive, Melbourne VIC 3000, Australia",3.8,-37.81875,144.969731,"food"
"100","Roule Galette","241 Flinders Ln, Melbourne VIC 3000, Australia",4.6,-37.81686,144.966301,"food"
"101","ACMI Cafe & Bar","Federation Square, Melbourne VIC 3000, Australia",3.6,-37.8176991,144.9692046,"food"
"102","Saké Restaurant & Bar Hamer Hall","100 St Kilda Rd, Melbourne VIC 3004, Australia",4,-37.819782,144.967895,"food"
"103","Supernormal","180 Flinders Ln, Melbourne VIC 3000, Australia",4.5,-37.8159376,144.9682574,"food"
"104","Lord Of The Fries","211 Flinders St, Melbourne VIC 3000, Australia",3.4,-37.8182648,144.965351,"food"
"105","Cafe Chinotto","2 Federation Sq, Melbourne VIC 3000, Australia",2.9,-37.817846,144.969482,"food"
"106","EZARD","187 Flinders Ln, Melbourne VIC 3000, Australia",4.3,-37.81631,144.968326,"food"
"107","Flora Indian Restaurant","238 Flinders St, Melbourne VIC 3000, Australia",3.5,-37.8175841,144.9664793,"food"
